Variable,Method,Metric,Value
prcp,RF,CC,0.6524601212737274
prcp,RF,ME,-0.7933703603551443
prcp,RF,RB,-0.5302648091537631
prcp,RF,MAE,1.1182892483951057
prcp,RF,ARB,0.747430789591749
prcp,RF,RMSE,3.256054742515174
prcp,RF,NSE,0.3683089299304454
prcp,RF,KGE_G2009,0.19957957863747944
prcp,RF,KGE_K2012,0.35981205542356687
prcp,RF,KGE_P2018,0.26596232230671857
prcp,RF,KGE_T2021,0.36992404319936667
prcp,RF,POD,0.7529989094874591
prcp,RF,FOH,0.7460831982712047
prcp,RF,FAR,0.25391680172879527
prcp,RF,CSI,0.5993923611111112
prcp,RF,HSS,0.6669323609298885
prcp,RF,PBIAS,-53.026480915376304
tmax,RF,CC,0.8759012041692138
tmax,RF,ME,0.22531184131400073
tmax,RF,RB,0.01244622753404938
tmax,RF,MAE,1.4413799576050437
tmax,RF,ARB,0.07962183794135042
tmax,RF,RMSE,1.8681629618496507
tmax,RF,NSE,0.7635093976679557
tmax,RF,KGE_G2009,0.8349023487660281
tmax,RF,KGE_K2012,0.827519967256692
tmax,RF,KGE_P2018,0.832835872658171
tmax,RF,KGE_T2021,0.8252365082525837
tmax,RF,POD,1.0
tmax,RF,FOH,1.0
tmax,RF,FAR,0.0
tmax,RF,CSI,1.0
tmax,RF,HSS,
tmax,RF,PBIAS,1.244622753404938
tmin,RF,CC,0.9433563972912558
tmin,RF,ME,0.1523397660060689
tmin,RF,RB,-0.4145243341280312
tmin,RF,MAE,1.3693806549621623
tmin,RF,ARB,-3.7261551533654296
tmin,RF,RMSE,1.8930704379603445
tmin,RF,NSE,0.8892035088430944
tmin,RF,KGE_G2009,0.5777340566772761
tmin,RF,KGE_K2012,0.2600246392837169
tmin,RF,KGE_P2018,-2.584218854011163
tmin,RF,KGE_T2021,0.9151731260032455
tmin,RF,POD,0.9066032123735871
tmin,RF,FOH,0.8917495611468695
tmin,RF,FAR,0.10825043885313049
tmin,RF,CSI,0.8167202572347267
tmin,RF,HSS,0.804338228946205
tmin,RF,PBIAS,-41.45243341280312
flow,RF,CC,0.05465391656960612
flow,RF,ME,-1003032.5759478263
flow,RF,RB,-0.95470958571781
flow,RF,MAE,1067210.5115467012
flow,RF,ARB,1.015795627963175
flow,RF,RMSE,10412825.245996192
flow,RF,NSE,-0.006438769709054215
flow,RF,KGE_G2009,-0.6482041318012046
flow,RF,KGE_K2012,-0.34355865499767013
flow,RF,KGE_P2018,-0.019847690425287556
flow,RF,KGE_T2021,-0.34701337587576453
flow,RF,POD,1.0
flow,RF,FOH,1.0
flow,RF,FAR,0.0
flow,RF,CSI,1.0
flow,RF,HSS,
flow,RF,PBIAS,-95.470958571781
